TI_I_LOTE,BR_I_DATETIME,BR_I_FERM0101.AGITATION_PV,BR_I_FERM0101.AIR_SPARGE_PV,BR_I_FERM0101.BIOCONTAINER_PRESSURE_PV,BR_I_FERM0101.DO_1_PV,BR_I_FERM0101.DO_2_PV,BR_I_FERM0101.GAS_OVERLAY_PV,BR_I_FERM0101.LOAD_CELL_NET_PV,BR_I_FERM0101.PH_1_PV,BR_I_FERM0101.PH_2_PV,BR_I_FERM0101.PUMP_1_PV,BR_I_FERM0101.PUMP_1_TOTAL,BR_I_FERM0101.PUMP_2_PV,BR_I_FERM0101.PUMP_2_TOTAL,BR_I_FERM0101.SINGLE_USE_DO_PV,BR_I_FERM0101.SINGLE_USE_PH_PV,BR_I_FERM0101.TEMPERATURA_PV,BR_I_ID_BIOREACTOR,BR_I_TH_06299_TI1302.PV,BR_I_TH_06299_MI1302.PV
23023,2023-03-27 07:15:00,72,15.99901854,5.737984475,85.54476318,,3.999925183,147.7599976,-527.3871582,5.936164093,0,19.84000092,0,0,89.92016296,6.047999573,29.32800293,14618,,
23023,2023-03-27 07:30:00,72,0,3.245808565,76.9427124,,3.999837918,154.6427367,-527.3871582,5.918625091,0,19.84000092,0,0,76.58302612,6.039999771,29.29599609,14618,,
23023,2023-03-27 07:45:00,72,0,3.104742432,71.49735107,,4.000022731,157.5199951,-527.3871582,5.892551422,0,19.84000092,0,0,72.16231079,6.023999786,29.73555292,14618,,
23023,2023-03-27 08:00:00,72,0,3.023724365,66.58161011,,3.999923659,157.5199951,-527.3871582,5.892551422,0,19.84000092,0,0,67.16523797,6.031999588,29.2482171,14618,22.5171229,33.16141129
23023,2023-03-27 08:15:00,72,0,2.760917928,62.85507813,,4.000476196,157.5199951,-527.3871582,5.901084137,0,19.84000092,0,0,63.79106972,6.023999786,29.39220407,14618,,
23023,2023-03-27 08:30:00,72,0,2.658365051,59.53779297,,4.00001669,157.5199951,-527.3871582,5.901084137,0,19.84000092,0,0,60.60865479,6.023999786,29.67167958,14618,,
23023,2023-03-27 08:45:00,72,0,2.598382568,55.41168117,,3.999779761,157.5199951,-527.3871582,5.901084137,0,19.84000092,0,0,56.50827637,6.023999786,29.26400146,14618,,
23023,2023-03-27 09:00:00,72,0,2.780391887,52.62879028,,3.999825684,157.5199951,-527.3871582,5.901084137,0,19.84000092,0,0,54.00249634,6.023999786,29.58410923,14618,21.68047845,35.3479957
23023,2023-03-27 09:15:00,72,0,3.044624265,49.03707275,,4.000019865,157.5199951,-527.3871582,5.901084137,0,19.84000092,0,0,50.39331055,6.023999786,29.39173893,14618,,
23023,2023-03-27 09:30:00,72,0,2.962963867,46.11459045,,4.000155381,157.5199951,-527.3871582,5.901084137,0,19.84000092,0,0,47.61702957,6.023999786,29.34399414,14618,,
23023,2023-03-27 09:45:00,72,0,2.861639746,43.45690918,,4.000219766,157.5199951,-527.3871582,5.901084137,0,19.84000092,0,0,45.11123047,6.015999603,29.66393173,14618,,
23023,2023-03-27 10:00:00,72,0,2.598344519,40.39961548,,4.00019561,157.4400024,-527.3871582,5.901084137,0,19.84000092,0,0,41.8295743,6.015999603,29.22398401,14618,20.07891346,40.34310667
23023,2023-03-27 10:15:00,72,0,2.861441532,37.87193298,,4.000043595,157.3599976,-527.3871582,5.901092666,0,19.84000092,0,0,39.57923085,6.015999603,29.53621433,14618,,
23023,2023-03-27 10:30:00,72,0,3.043981934,34.95426025,,3.99995561,157.3599976,-527.3871582,5.892863543,0,19.84000092,0,0,36.54701525,6.015999603,29.40780647,14618,,
23023,2023-03-27 10:45:00,72,0,3.003170234,32.69619751,,3.999889184,157.3599976,-527.3871582,5.901084137,0,19.84000092,0,0,34.09795978,6.015999603,29.34405922,14618,,
23023,2023-03-27 11:00:00,72,0,2.659068275,30.03851929,,4.000076411,157.3599976,-527.3871582,5.892572996,0,19.84000092,0,0,31.63552246,6.015999603,29.63998219,14618,18.75629507,47.49366688
23023,2023-03-27 11:15:00,72,0,2.578051505,27.38107375,,3.99956829,157.4398573,-527.3871582,5.901084137,0,19.84000092,0,0,28.72410066,6.015999603,29.24802707,14618,,
23023,2023-03-27 11:30:00,72,0,2.760864801,24.99277802,0,3.999999783,157.3599976,-527.3871582,5.892867279,0,19.84000092,0,0,26.44534895,6.008179889,29.56854563,14618,,
23023,2023-03-27 11:45:00,72,0,3.004162502,22.33509979,,3.999650771,157.3599976,-527.3871582,5.892551422,0,19.84000092,0,0,23.37782593,6.015859507,29.39172414,14618,,
23023,2023-03-27 12:00:00,72,0,2.497106934,19.80741425,,4.000102318,157.2800049,-527.3871582,5.892555291,0,19.84000092,0,0,20.94973756,6.007999802,29.29638812,14618,19.09302231,49.12170629
23023,2023-03-27 12:15:00,72,0,2.881797825,17.41935577,,4.00021793,157.1199951,-527.3871582,5.892865916,0,19.84000092,0,0,18.29501234,6.007999802,29.71199951,14618,,
23023,2023-03-27 12:30:00,72,0.178897162,2.760418701,14.76649017,,3.999960486,157.1199951,-527.3871582,5.892551422,0,19.84000092,0,0,15.21267242,6.007999802,29.19208125,14618,,
23023,2023-03-27 12:45:00,72,0,3.30714484,17.54934998,,4.000151388,157.0400024,-527.3871582,5.892551422,0,19.84000092,0,0,18.38746604,6.007999802,29.40806496,14618,,
23023,2023-03-27 13:00:00,72,0.52475708,3.246525017,14.36687469,,4.000428464,157.0400024,-527.3871582,5.883703907,0,19.84000092,0,0,15.14860528,6.007999802,29.68799062,14618,20.06134224,45.62173056
23023,2023-03-27 13:15:00,72,0,2.577933579,17.81896973,,3.999902856,157.1199951,-527.3871582,5.892551422,0,19.84000092,0,0,18.46592102,6.007999802,29.24004021,14618,,
23023,2023-03-27 13:30:00,72,6.633237951,3.290034289,15.03680964,,4.000620261,157.0400024,-527.3871582,5.892551422,0,19.84000092,0,0,16.79302521,6.000170083,29.60816623,14618,,
23023,2023-03-27 13:45:00,72,0,2.780670166,16.62494049,,4.000231492,157.1192926,-527.3871582,5.884017944,0,19.84000092,0,0,17.36908738,6.007929539,29.39186384,14618,,
23023,2023-03-27 14:00:00,72,0,2.801294623,19.27780457,,4.000109581,157.0400024,-527.3871582,5.884017944,0,19.84000092,0,0,20.2525068,6.007999802,29.4320671,14618,20.51862387,43.10247525
23023,2023-03-27 14:15:00,72,0,2.598382568,14.76649017,,3.999770521,157.1199951,-527.3871582,5.883702087,0,19.84000092,0,0,15.22596317,5.999999619,29.61554405,14618,,
23023,2023-03-27 14:30:00,72,0,2.598519039,17.54934998,,3.999428938,157.1199951,-527.3871582,5.883702087,0,19.84000092,0,0,18.44409909,6.007940485,29.2641794,14618,,
23023,2023-03-27 14:45:00,72,0,3.023724365,15.42609558,,3.999526461,157.0400024,-527.3871582,5.883702087,0,19.84000092,0,0,16.18107123,5.999999619,29.68792201,14618,,
23023,2023-03-27 15:00:00,72,0,2.963749813,16.22532501,,4.000250895,157.0400024,-527.3871582,5.883702087,0,19.84000092,0,0,16.92116089,5.999999619,29.34319235,14618,21.02238492,41.01691662
23023,2023-03-27 15:15:00,72,0,2.861500174,18.74819489,,3.999907556,157.0400024,-527.3871582,5.883702087,0,19.84000092,0,0,19.7038218,5.999999619,29.37615744,14618,,
23023,2023-03-27 15:30:00,72,0,2.841260059,18.85304358,,3.999624556,156.4800049,-527.3871582,5.883702087,0,19.84000092,0,0,16.40878432,5.999999619,29.64003733,14618,,
23023,2023-03-27 15:45:00,72,0,3.003609457,16.75975037,,4.000670488,156.4800049,-527.3871582,5.883702087,0,19.84000092,0,0,17.39099579,5.999999619,29.22399902,14618,,
23023,2023-03-27 16:00:00,72,0,3.267886025,18.74819489,,4.000141644,156.4,-527.3871582,5.875711272,0,19.84000092,0,0,19.78999939,5.999999619,29.5524422,14618,21.10364658,43.27292855
23023,2023-03-27 16:15:00,72,0,3.024174191,21.27577045,,4.000229081,156.4800049,-527.3871582,5.883702087,0,19.84000092,0,0,22.52358093,5.999999619,29.45527447,14618,,
23023,2023-03-27 16:30:00,72,2.712835312,2.841763976,13.69764099,,4.000336808,156.4800049,-527.3871582,5.883702087,0,19.84000092,0,0,14.08079834,5.999999619,29.2403941,14618,,
23023,2023-03-27 16:45:00,72,0.690990674,3.206262474,15.55609131,,3.99993518,156.4800049,-527.3871582,5.875485229,0,19.84000092,1.644547272,0,16.2801798,5.999999619,29.73603466,14618,,
23023,2023-03-27 17:00:00,72,0,2.760567262,16.62494049,,3.999631972,156.4800049,-527.3871582,5.884016578,0,19.84000092,0,0,17.23397498,5.999999619,29.30393469,14618,21.19305231,43.97665424
23023,2023-03-27 17:15:00,72,0,2.537701638,19.14781036,,3.999928501,156.4800049,-527.3871582,5.883702087,0,19.84000092,0,0,20.01779785,5.999999619,29.32800293,14618,,
23023,2023-03-27 17:30:00,72,0,2.881945801,21.53586884,,3.999811959,156.4800049,-527.3871582,5.883702087,0,19.84000092,0,0,22.75849915,5.999999619,29.67201283,14618,,
23023,2023-03-27 17:45:00,72,0,3.043193492,22.59990387,,4.000092319,156.4800049,-527.3871582,5.883708286,0,19.84000092,0,0,23.89749146,5.999999619,29.24799805,14618,,
23023,2023-03-27 18:00:00,72,14.10181183,4.846643066,16.62494049,,4.000610129,156.4,-527.3871582,5.875009609,0,19.84000092,0,0,19.50525055,5.999999619,29.53627242,14618,21.16856638,44.7829765
23023,2023-03-27 18:15:00,72,1.428807103,2.601692379,13.17284546,,3.999806293,156.4800049,-527.3871582,5.883702087,0,19.84000092,0,0,13.49706421,5.999999619,29.50355241,14618,,
23023,2023-03-27 18:30:00,72,0,2.618180479,17.87091664,,4.000267977,156.4800049,-527.3871582,5.883702087,0,19.84000092,0,0,15.36216431,5.999999619,29.24819024,14618,,
23023,2023-03-27 18:45:00,72,0,3.024294247,16.09051514,,4.000004775,156.4,-527.3871582,5.874852753,0,19.84000092,2.455332947,0,16.77878723,5.999999619,29.7120745,14618,,
