DATETIME,TEMPERARURA_SALA_BIORREACTORES,HUMEDAD_SALA_BIORREACTORES,TEMPERARURA_SALA_CENTRIFUGACION,HUMEDAD_SALA_CENTRIFUGACION,TEMPERATURA_ALMACEN_PRINCIPAL,HUMEDAD_ALMACEN_PRINCIPAL,TEMPERATURA_ALMACEN_PRODUCCION,HUMEDAD_ALMACEN_PRODUCCION
2023-03-15 00:00:00,23.9315853674061,34.8014350343641,22.8541692355607,35.223422219657,18.9019088745117,35.2900733947754,20.2473945617676,48.8425903320313
2023-03-15 01:00:00,23.7479782104492,34.4043149310849,21.5628528594971,36.619001337425,18.7861709594727,35.4564514160156,20.2473945617676,48.7123832702637
2023-03-15 02:00:00,23.6157336821655,33.7893561858316,22.5809715788508,33.7599991201783,18.4538366684595,35.0405082702637,20.1334629058838,48.5713233947754
2023-03-15 03:00:00,19.9065699748185,38.7492753424528,19.6317967802829,38.0614015373936,18.4221402602099,33.6986389160156,20.1334629058838,48.2964401245117
2023-03-15 04:00:00,19.0377696544057,39.8958174639661,19.5518197846952,37.5604874997946,18.7269110585183,32.6280364990234,19.9978294372559,48.1662330627441
2023-03-15 05:00:00,18.8222057783048,40.2094700932291,19.9007590808089,36.4654158667496,18.8289922811435,31.958911895752,19.8640041351318,48.0360221862793
2023-03-15 06:00:00,19.1980362973234,39.2365556627274,20.5984687805176,34.8839113926959,20.7883224784058,31.0896753661618,19.7265625,47.9021987915039
2023-03-15 07:00:00,19.3205328281884,39.1439652057516,20.9198178399409,34.4743721116624,20.5254459519652,30.3006603427258,19.9688949584961,47.9021987915039
2023-03-15 08:00:00,19.2456294020231,39.1658637663823,20.5496387481689,35.4923813380545,20.0971427228889,30.2191829681396,20.202184677124,44.7880477905273
2023-03-15 09:00:00,19.3456092169276,40.209064124502,20.5740528106689,37.013290032642,20.1750564575195,30.7327823638916,20.202184677124,45.6018524169922
2023-03-15 10:00:00,19.1273429772405,41.8248560767569,20.5374317169189,37.6754833797624,20.4644088745117,31.2934017181396,20.3342018127441,46.1371536254883
2023-03-15 11:00:00,19.3501212618767,39.480111468692,20.7692487297628,35.4452459268888,20.9924774169922,30.4723663330078,20.446325302124,46.1371536254883
2023-03-15 12:00:00,20.3790665685212,36.5734473867685,21.2454605102539,34.2712349338879,21.3976543134295,29.920906607249,20.446325302124,46.0033264160156
